ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
10883	Hs.434973	Glycophorin A (MNS blood group)	"Glycophorins A (GYPA) and B (GYPB) are major sialoglycoproteins of the human erythrocyte membrane which bear the antigenic determinants for the MN and Ss blood groups. GYPA gene consists of 7 exons and has 97% sequence homology with GYPB from the 5' UTR to the coding sequence encoding the first 45 amino acids. In addition to the M or N and S or s antigens, that commonly occur in all populations, about 40 related variant phenotypes have been identified. These variants include all the variants of the Miltenberger complex and several isoforms of Sta; also, Dantu, Sat, He, Mg, and deletion variants Ena, S-s-U- and Mk. Most of the variants are resulted from gene recombinations between GYPA and GYPB."	GYPA	N70285	
10884	Hs.655792	ADP-ribosyltransferase 4 (Dombrock blood group)	"This gene encodes a protein that contains a mono-ADP-ribosylation (ART) motif. It is a member of the ADP-ribosyltransferase gene family but enzymatic activity has not been demonstrated experimentally. Antigens of the Dombrock blood group system are located on the gene product, which is glycosylphosphatidylinosotol-anchored to the erythrocyte membrane. Allelic variants, some of which lead to adverse transfusion reactions, are known."	ART4	N70349	
10885	Hs.172587	RAD51-like 1 (S. cerevisiae)	"The protein encoded by this gene is a member of the RAD51 protein family. RAD51 family members are evolutionarily conserved proteins essential for DNA repair by homologous recombination. This protein has been shown to form a stable heterodimer with the family member RAD51C, which further interacts with the other family members, such as RAD51, XRCC2, and XRCC3. Overexpression of this gene was found to cause cell cycle G1 delay and cell apoptosis, which suggested a role of this protein in sensing DNA damage. At least three alternatively spliced transcript variants encoding distinct isoforms have been observed."	RAD51L1	N70362	
10886	Hs.406787	F-box protein 3	"This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. Alternative splicing of this gene generates 2 transcript variants diverging at the 3' end."	FBXO3	N70417	
10887	Hs.255935	"B-cell translocation gene 1, anti-proliferative"	The BTG1 gene locus has been shown to be involved in a t(8;12)(q24;q22) chromosomal translocation in a case of B-cell chronic lymphocytic leukemia. It is a member of a family of antiproliferative genes. BTG1 expression is maximal in the G0/G1 phases of the cell cycle and downregulated when cells progressed through G1. It negatively regulates cell proliferation.	BTG1	N70463	
10888	Hs.15106	Chromosome 14 open reading frame 1		C14orf1	N70492	
10889	Hs.5327	Zinc finger protein 770		ZNF770	N70520	
10890	Hs.157031	"Phosphatidylinositol glycan anchor biosynthesis, class N"	"This gene encodes a protein that is involved in glycosylphosphatidylinositol (GPI)-anchor biosynthesis. The GPI-anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. This protein is expressed in the endoplasmic reticulum and transfers phosphoethanolamine (EtNP) to the first mannose of the GPI anchor. Two alternatively spliced variants, which encode an identical isoform, have been reported."	PIGN	N70592	
10891	Hs.278436	Teashirt family zinc finger 3		TSHZ3	N70608	
10892	Hs.268869	"Alcohol dehydrogenase, iron containing, 1"		ADHFE1	N70632	
10893	Hs.652389	Small trans-membrane and glycosylated protein		LOC57228	N70688	
10894	Hs.430299	"Peroxisomal membrane protein 2, 22kDa"		PXMP2	N70714	
10895	Hs.533613	Troponin T type 2 (cardiac)	"The protein encoded by this gene is the tropomyosin-binding subunit of the troponin complex, which is located on the thin filament of striated muscles and regulates muscle contraction in response to alterations in intracellular calcium ion concentration. Mutations in this gene have been associated with familial hypertrophic cardiomyopathy as well as with dilated cardiomyopathy. Transcripts for this gene undergo alternative splicing that results in many tissue-specific isoforms, however, the full length nature of some of these variants has not yet been determined."	TNNT2	N70734	
10896	Hs.528519	CDNA clone IMAGE:4829494		NA	N70739	
10897	Hs.506815	Transmembrane protein 116		TMEM116	N70756	
10898	Hs.586174	Dedicator of cytokinesis 2	The DOCK2 gene encodes a hematopoietic cell-specific CDM family protein that is indispensable for lymphocyte chemotaxis.[supplied by OMIM]	DOCK2	N70765	
10899	Hs.555902	Development and differentiation enhancing factor 2	"This gene encodes a multidomain protein containing an N-terminal alpha-helical region with a coiled-coil motif, followed by a pleckstrin homology (PH) domain, an Arf-GAP domain, an ankyrin homology region, a proline-rich region, and a C-terminal Src homology 3 (SH3) domain. The protein localizes in the Golgi apparatus and at the plasma membrane, where it colocalizes with protein tyrosine kinase 2-beta (PYK2). The encoded protein forms a stable complex with PYK2 in vivo. This interaction appears to be mediated by binding of its SH3 domain to the C-terminal proline-rich domain of PYK2. The encoded protein is tyrosine phosphorylated by activated PYK2. In vitro it shows strong GTPase-activating protein (GAP) activity towards the small GTPases ADP-ribosylation factor (ARF) 1 and ARF5 and weak activity towards ARF6. The encoded protein is believed to function as an ARF GAP that controls ARF-mediated vesicle budding when recruited to Golgi membranes. In addition, it functions as a substrate and downstream target for PYK2 and SRC, a pathway that may be involved in the regulation of vesicular transport."	DDEF2	N70773	
10900	Hs.491060	"Ash1 (absent, small, or homeotic)-like (Drosophila)"		ASH1L	N70786	
10901	Hs.445040	"Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	This gene encodes the medium-chain specific (C4 to C12 straight chain) acyl-Coenzyme A dehydrogenase. The homotetramer enzyme catalyzes the initial step of the mitochondrial fatty acid beta-oxidation pathway. Clinical phenotypes are associated with ACADM hereditary deficiency.	ACADM	N70794	
10902	Hs.131903	WD repeat domain 27		WDR27	N70818	
10903	Hs.167017	"Gamma-aminobutyric acid (GABA) B receptor, 1"	"Gamma-aminobutyric acid (GABA) is the main inhibitory neurotransmitter in the mammalian central nervous system.  GABA exerts its effects through ionotropic [GABA(A/C)] receptors, to produce fast synaptic inhibition, and metabotropic [GABA(B)] receptors, to produce slow, prolonged inhibitory signals. The GABA(B) receptor consists of a heterodimer of two related 7-transmembrane receptors, GABA(B) receptor 1 and GABA(B) receptor 2. The GABA(B) receptor 1 gene is mapped to chromosome 6p21.3 within the HLA class I region close to the HLA-F gene. Susceptibility loci for multiple sclerosis, epilepsy, and schizophrenia have also been mapped in this region.  Alternative splicing of this gene generates 4 transcript variants."	GABBR1	N70841	
10904	Hs.44685	Ring finger protein 141	"The protein encoded by this gene contains a RING finger, a motif known to be involved in protein-DNA and protein-protein interactions. Abundant expression of this gene was found in the testicular tissue of fertile men, but was not detected in azoospermic patients. Studies of the mouse counterpart suggest that this gene may function as a testis specific transcription factor during spermatogenesis."	RNF141	N70848	
10905	Hs.542604	Transcribed locus		NA	N70907	
10906	Hs.655369	Methyltransferase like 7A		METTL7A	N70948	
10907	Data not found			NA	N71049	
10908	Hs.659734	Transcribed locus		NA	N71050	
10909	Hs.500333	Chromosome 10 open reading frame 58		C10orf58	N71061	
10910	Hs.591667	"Nuclear receptor subfamily 2, group C, member 2"	"Members of the nuclear hormone receptor family, such as NR2C2, act as ligand-activated transcription factors. The proteins have an N-terminal transactivation domain, a central DNA-binding domain with 2 zinc fingers, and a ligand-binding domain at the C terminus. The activated receptor/ligand complex is translocated to the nucleus where it binds to hormone response elements of target genes (Yoshikawa et al., 1996).[supplied by OMIM]"	NR2C2	N71078	
10911	Hs.534312	"Torsin family 1, member A (torsin A)"	"The protein encoded by this gene is a member of the AAA family of adenosine triphosphatases (ATPases), is related to the Clp protease/heat shock family and is expressed prominently in the substantia nigra pars compacta. Mutations in this gene result in the autosomal dominant disorder, torsion dystonia 1."	TOR1A	N71095	
10912	Hs.462529	"Tumor necrosis factor receptor superfamily, member 25"	"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is expressed preferentially in the tissues enriched in lymphocytes, and it may play a role in regulating lymphocyte homeostasis. This receptor has been shown to stimulate NF-kappa B activity and regulate cell apoptosis. The signal transduction of this receptor is mediated by various death domain containing adaptor proteins. Knockout studies in mice suggested the role of this gene in the removal of self-reactive T cells in the thymus. At least 11 alternatively spliced transcript variants of this gene encoding distinct isoforms have been reported, most of which are potentially secreted molecules. The alternative splicing of this gene in B and T cells encounters a programmed change upon T-cell activation, which predominantly produces full-length, membrane bound isoforms, and is thought to be involved in controlling lymphocyte proliferation induced by T-cell activation."	TNFRSF25	N71141	
10913	Hs.633665	Transcribed locus		NA	N71147	
10914	Hs.525629	Metastasis associated 1	"This gene encodes a protein that was identified in a screen for genes expressed in metastatic cells, specifically, mammary adenocarcinoma cell lines. Expression of this gene has been correlated with the metastatic potential of at least two types of carcinomas although it is also expressed in many normal tissues. The role it plays in metastasis is unclear. It was initially thought to be the 70kD component of a nucleosome remodeling deacetylase complex, NuRD, but it is more likely that this component is a different but very similar protein. These two proteins are so closely related, though, that they share the same types of domains. These domains include two DNA binding domains, a dimerization domain, and a domain commonly found in proteins that methylate DNA. The profile and activity of this gene product suggest that it is involved in regulating transcription and that this may be accomplished by chromatin remodeling."	MTA1	N71159	
10915	Hs.431668	Cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	"Cytochrome c oxidase (COX), the terminal enzyme of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. It is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may be involved in the regulation and assembly of the complex. This nuclear gene encodes subunit VIb. Three pseudogenes COX6BP-1, COX6BP-2 and COX6BP-3 have been found on chromosomes 7, 17 and 22q13.1-13.2, respectively."	COX6B1	N71160	
10916	Data not found			NA	N71259	
10917	Hs.597281	Transcribed locus		NA	N71303	
